"mixture","vocals","accompaniment"
"DSD100/051 - AM Contra - Heart Peripheral/mixture.wav","DSD100/051 - AM Contra - Heart Peripheral/vocals.wav","DSD100/051 - AM Contra - Heart Peripheral/accompaniment.wav"
"DSD100/052 - ANiMAL - Easy Tiger/mixture.wav","DSD100/052 - ANiMAL - Easy Tiger/vocals.wav","DSD100/052 - ANiMAL - Easy Tiger/accompaniment.wav"
"DSD100/053 - Actions - Devil's Words/mixture.wav","DSD100/053 - Actions - Devil's Words/vocals.wav","DSD100/053 - Actions - Devil's Words/accompaniment.wav"
"DSD100/054 - Actions - South Of The Water/mixture.wav","DSD100/054 - Actions - South Of The Water/vocals.wav","DSD100/054 - Actions - South Of The Water/accompaniment.wav"
"DSD100/055 - Angels In Amplifiers - I'm Alright/mixture.wav","DSD100/055 - Angels In Amplifiers - I'm Alright/vocals.wav","DSD100/055 - Angels In Amplifiers - I'm Alright/accompaniment.wav"
"DSD100/056 - Arise - Run Run Run/mixture.wav","DSD100/056 - Arise - Run Run Run/vocals.wav","DSD100/056 - Arise - Run Run Run/accompaniment.wav"
"DSD100/057 - BKS - Bulldozer/mixture.wav","DSD100/057 - BKS - Bulldozer/vocals.wav","DSD100/057 - BKS - Bulldozer/accompaniment.wav"
"DSD100/058 - Ben Carrigan - We'll Talk About It All Tonight/mixture.wav","DSD100/058 - Ben Carrigan - We'll Talk About It All Tonight/vocals.wav","DSD100/058 - Ben Carrigan - We'll Talk About It All Tonight/accompaniment.wav"
"DSD100/059 - Black Bloc - If You Want Success/mixture.wav","DSD100/059 - Black Bloc - If You Want Success/vocals.wav","DSD100/059 - Black Bloc - If You Want Success/accompaniment.wav"
"DSD100/060 - Buitraker - Revo X/mixture.wav","DSD100/060 - Buitraker - Revo X/vocals.wav","DSD100/060 - Buitraker - Revo X/accompaniment.wav"
"DSD100/061 - Chris Durban - Celebrate/mixture.wav","DSD100/061 - Chris Durban - Celebrate/vocals.wav","DSD100/061 - Chris Durban - Celebrate/accompaniment.wav"
"DSD100/062 - Cristina Vane - So Easy/mixture.wav","DSD100/062 - Cristina Vane - So Easy/vocals.wav","DSD100/062 - Cristina Vane - So Easy/accompaniment.wav"
"DSD100/063 - Detsky Sad - Walkie Talkie/mixture.wav","DSD100/063 - Detsky Sad - Walkie Talkie/vocals.wav","DSD100/063 - Detsky Sad - Walkie Talkie/accompaniment.wav"
"DSD100/064 - Enda Reilly - Cur An Long Ag Seol/mixture.wav","DSD100/064 - Enda Reilly - Cur An Long Ag Seol/vocals.wav","DSD100/064 - Enda Reilly - Cur An Long Ag Seol/accompaniment.wav"
"DSD100/065 - Fergessen - Nos Palpitants/mixture.wav","DSD100/065 - Fergessen - Nos Palpitants/vocals.wav","DSD100/065 - Fergessen - Nos Palpitants/accompaniment.wav"
"DSD100/066 - Flags - 54/mixture.wav","DSD100/066 - Flags - 54/vocals.wav","DSD100/066 - Flags - 54/accompaniment.wav"
"DSD100/067 - Georgia Wonder - Siren/mixture.wav","DSD100/067 - Georgia Wonder - Siren/vocals.wav","DSD100/067 - Georgia Wonder - Siren/accompaniment.wav"
"DSD100/068 - Giselle - Moss/mixture.wav","DSD100/068 - Giselle - Moss/vocals.wav","DSD100/068 - Giselle - Moss/accompaniment.wav"
"DSD100/069 - Hollow Ground - Left Blind/mixture.wav","DSD100/069 - Hollow Ground - Left Blind/vocals.wav","DSD100/069 - Hollow Ground - Left Blind/accompaniment.wav"
"DSD100/070 - James May - All Souls Moon/mixture.wav","DSD100/070 - James May - All Souls Moon/vocals.wav","DSD100/070 - James May - All Souls Moon/accompaniment.wav"
"DSD100/071 - James May - If You Say/mixture.wav","DSD100/071 - James May - If You Say/vocals.wav","DSD100/071 - James May - If You Say/accompaniment.wav"
"DSD100/072 - Jay Menon - Through My Eyes/mixture.wav","DSD100/072 - Jay Menon - Through My Eyes/vocals.wav","DSD100/072 - Jay Menon - Through My Eyes/accompaniment.wav"
"DSD100/073 - Johnny Lokke - Whisper To A Scream/mixture.wav","DSD100/073 - Johnny Lokke - Whisper To A Scream/vocals.wav","DSD100/073 - Johnny Lokke - Whisper To A Scream/accompaniment.wav"
